Entity,Code,Year,"Number of people living in extreme poverty, by world region"
China,CHN,1990,816905682
China,CHN,1991,801799933
China,CHN,1992,772504516
China,CHN,1993,738952525
China,CHN,1994,682334357
China,CHN,1995,642541897
China,CHN,1996,586134479
China,CHN,1997,585544946
China,CHN,1998,583112919
China,CHN,1999,575830190
China,CHN,2000,528901194
China,CHN,2001,502762184
China,CHN,2002,467384386
China,CHN,2003,419812468
China,CHN,2004,360723097
China,CHN,2005,288350575
China,CHN,2006,271968672
China,CHN,2007,250752594
China,CHN,2008,237894629
China,CHN,2009,213659179
China,CHN,2010,185971523
China,CHN,2011,137532709
China,CHN,2012,115009456
China,CHN,2013,39302677
China,CHN,2014,28523017
China,CHN,2015,16139948
China,CHN,2016,11564023
China,CHN,2017,9434420
China,CHN,2018,6001216
China,CHN,2019,2005031
East Asia and Pacific,,1990,1055536103
East Asia and Pacific,,1991,1040573331
East Asia and Pacific,,1992,1011052199
East Asia and Pacific,,1993,974904170
East Asia and Pacific,,1994,910983635
East Asia and Pacific,,1995,859153925
East Asia and Pacific,,1996,790875756
East Asia and Pacific,,1997,795810447
East Asia and Pacific,,1998,822503631
East Asia and Pacific,,1999,769745943
East Asia and Pacific,,2000,717859327
East Asia and Pacific,,2001,682537976
East Asia and Pacific,,2002,614970645
East Asia and Pacific,,2003,558440632
East Asia and Pacific,,2004,493489345
East Asia and Pacific,,2005,409468673
East Asia and Pacific,,2006,401951267
East Asia and Pacific,,2007,360805044
East Asia and Pacific,,2008,341670254
East Asia and Pacific,,2009,303471366
East Asia and Pacific,,2010,261804771
East Asia and Pacific,,2011,205333227
East Asia and Pacific,,2012,176131012
East Asia and Pacific,,2013,90483090
East Asia and Pacific,,2014,72625708
East Asia and Pacific,,2015,55250590
East Asia and Pacific,,2016,46227607
East Asia and Pacific,,2017,39652165
East Asia and Pacific,,2018,31957065
East Asia and Pacific,,2019,23641492
East Asia and Pacific excluding China,,1990,238630421
East Asia and Pacific excluding China,,1991,238773398
East Asia and Pacific excluding China,,1992,238547683
East Asia and Pacific excluding China,,1993,235951645
East Asia and Pacific excluding China,,1994,228649278
East Asia and Pacific excluding China,,1995,216612028
East Asia and Pacific excluding China,,1996,204741277
East Asia and Pacific excluding China,,1997,210265501
East Asia and Pacific excluding China,,1998,239390712
East Asia and Pacific excluding China,,1999,193915753
East Asia and Pacific excluding China,,2000,188958133
East Asia and Pacific excluding China,,2001,179775792
East Asia and Pacific excluding China,,2002,147586259
East Asia and Pacific excluding China,,2003,138628164
East Asia and Pacific excluding China,,2004,132766248
East Asia and Pacific excluding China,,2005,121118098
East Asia and Pacific excluding China,,2006,129982595
East Asia and Pacific excluding China,,2007,110052450
East Asia and Pacific excluding China,,2008,103775625
East Asia and Pacific excluding China,,2009,89812187
East Asia and Pacific excluding China,,2010,75833248
East Asia and Pacific excluding China,,2011,67800518
East Asia and Pacific excluding China,,2012,61121556
East Asia and Pacific excluding China,,2013,51180413
East Asia and Pacific excluding China,,2014,44102691
East Asia and Pacific excluding China,,2015,39110642
East Asia and Pacific excluding China,,2016,34663584
East Asia and Pacific excluding China,,2017,30217745
East Asia and Pacific excluding China,,2018,25955849
East Asia and Pacific excluding China,,2019,21636461
Europe and Central Asia,,1990,14964693
Europe and Central Asia,,1991,17593850
Europe and Central Asia,,1992,24950602
Europe and Central Asia,,1993,29889086
Europe and Central Asia,,1994,38630008
Europe and Central Asia,,1995,38761495
Europe and Central Asia,,1996,38915802
Europe and Central Asia,,1997,36512324
Europe and Central Asia,,1998,36014732
Europe and Central Asia,,1999,46242157
Europe and Central Asia,,2000,42995172
Europe and Central Asia,,2001,39172148
Europe and Central Asia,,2002,34758446
Europe and Central Asia,,2003,33952185
Europe and Central Asia,,2004,29484423
Europe and Central Asia,,2005,29333894
Europe and Central Asia,,2006,26070454
Europe and Central Asia,,2007,23387057
Europe and Central Asia,,2008,20715958
Europe and Central Asia,,2009,20163002
Europe and Central Asia,,2010,19949392
Europe and Central Asia,,2011,18557102
Europe and Central Asia,,2012,17925609
Europe and Central Asia,,2013,16382583
Europe and Central Asia,,2014,17170333
Europe and Central Asia,,2015,15572137
Europe and Central Asia,,2016,14054284
Europe and Central Asia,,2017,13960518
Europe and Central Asia,,2018,11976724
Europe and Central Asia,,2019,11766863
High income countries,,1990,4087250
High income countries,,1991,4099177
High income countries,,1992,4345438
High income countries,,1993,4688252
High income countries,,1994,4535552
High income countries,,1995,4557491
High income countries,,1996,5004746
High income countries,,1997,5085103
High income countries,,1998,5202375
High income countries,,1999,4945483
High income countries,,2000,4713282
High income countries,,2001,4738842
High income countries,,2002,4852098
High income countries,,2003,5659049
High income countries,,2004,5504494
High income countries,,2005,5610036
High income countries,,2006,5197648
High income countries,,2007,5131927
High income countries,,2008,5303856
High income countries,,2009,5401669
High income countries,,2010,5368180
High income countries,,2011,5974581
High income countries,,2012,6170179
High income countries,,2013,6780861
High income countries,,2014,7290625
High income countries,,2015,7927579
High income countries,,2016,6891425
High income countries,,2017,7683151
High income countries,,2018,6683155
High income countries,,2019,6684494
India,IND,1990,428636126
India,IND,1991,434657409
India,IND,1992,440737935
India,IND,1993,444727492
India,IND,1994,448025831
India,IND,1995,450012648
India,IND,1996,447498232
India,IND,1997,452720395
India,IND,1998,453387875
India,IND,1999,452419848
India,IND,2000,456552792
India,IND,2001,456601384
